Fecha_Hora,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2013-10-01 00:00:00,25,43.0,1.0,-9999.0,1.0,-9999.0,1.0,93.0,1.0,15.0,1.0,108.0,1.0,4.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,267.798,1.0,85.4673,1.0,641.847,1.0,0.0,1.0,10.0861,151.0,17.7047,1.0,1.24463,151.0
2013-10-01 01:00:00,25,42.0,1.0,-9999.0,1.0,-9999.0,1.0,76.0,1.0,14.0,1.0,90.0,1.0,3.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,303.65,1.0,88.6191,1.0,641.353,1.0,0.0,1.0,10.1267,151.0,17.2849,1.0,0.828445,151.0
2013-10-01 02:00:00,25,41.0,1.0,-9999.0,1.0,-9999.0,1.0,59.0,1.0,15.0,1.0,74.0,1.0,3.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,278.265,1.0,90.9382,1.0,641.137,1.0,0.0,1.0,10.1294,151.0,17.3396,1.0,1.10401,151.0
2013-10-01 03:00:00,25,46.0,1.0,-9999.0,1.0,-9999.0,1.0,54.0,1.0,13.0,1.0,67.0,1.0,3.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,280.67,1.0,89.2036,1.0,640.991,1.0,0.0,1.0,10.1183,151.0,17.405,1.0,1.04655,151.0
2013-10-01 04:00:00,25,46.0,1.0,-9999.0,1.0,-9999.0,1.0,67.0,1.0,13.0,1.0,80.0,1.0,3.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,280.503,1.0,88.8553,1.0,641.015,1.0,0.0,1.0,10.0933,151.0,17.5356,1.0,0.850045,151.0
2013-10-01 05:00:00,25,42.0,1.0,-9999.0,1.0,-9999.0,1.0,70.0,1.0,17.0,1.0,87.0,1.0,3.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,38.2071,1.0,89.2405,1.0,641.271,1.0,3.4,1.0,10.1278,1.0,17.6229,1.0,0.69604,151.0
2013-10-01 06:00:00,25,35.0,1.0,-9999.0,1.0,-9999.0,1.0,63.0,1.0,26.0,1.0,89.0,1.0,4.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,278.302,1.0,91.7574,1.0,641.672,1.0,0.1,1.0,10.9391,1.0,16.5871,1.0,1.09241,151.0
2013-10-01 07:00:00,25,41.0,1.0,-9999.0,1.0,-9999.0,1.0,71.0,1.0,22.0,1.0,93.0,1.0,4.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,273.291,1.0,93.296,1.0,642.156,1.0,0.1,1.0,29.3278,1.0,16.6769,1.0,1.14889,151.0
2013-10-01 08:00:00,25,51.0,1.0,-9999.0,1.0,-9999.0,1.0,98.0,1.0,24.0,1.0,122.0,1.0,4.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,275.9,1.0,91.2395,1.0,642.746,1.0,0.0,1.0,63.1039,1.0,17.4516,1.0,1.16098,151.0
2013-10-01 09:00:00,25,55.0,1.0,-9999.0,1.0,-9999.0,1.0,70.0,1.0,39.0,1.0,108.0,1.0,4.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,347.639,1.0,81.3173,1.0,643.284,1.0,0.0,1.0,139.809,1.0,18.977,1.0,1.28844,151.0
